id,nametitle,firstnames,lastname,namesuffix,aliases,gradschool,gradschool name,graddegree,gradyear,facultyschool,facultytitle,facultydept,facultyyear
,,J. Paul,Hunter,,,,,None,,57,Emeritus,English,
,,Alison,Hurley,,,,,None,,57,Lecturer,English,
,,Marja,Kankaanrinta,,,,,None,,57,Lecturer,Mathematics,
,,C. Brian,Kelly,,,,,None,,57,Lecturer,English,
,,Arthur,Kirsch,,,,,None,,57,Emeritus,English,
,,Harold,Kolb,,,,,None,,57,Emeritus,English,
,,Walter,Korte,,,,,None,,57,Associate Professor,English,
,,Robert,Langbaum,,,,,None,,57,Emeritus,English,
,,Jacob C. ,Levenson,,,,,None,,57,Emeritus,English,
,,James (Jeb),Livingood,,,,,None,,57,Lecturer,English,
,,Pamela,Marcantel,,,,,None,,57,Undergraduate Administrator,English,
,,Nathaniel,Martin,,,,,None,,57,Professor Emeritus,Mathematics,
,,Rajinder,Mavi,,,,,None,,57,Whyburn Instructor,Mathematics,
,,Kevin,McCrimmon,,,,,None,,57,Professor Emeritus,Mathematics,
,,Lennart,Meier,,,,,None,,57,Whyburn Instructor,Mathematics,
,,Patricia,Meyer Spacks,,,,,None,,57,Edgar F. Shannon Professor Emerita,English,
,,David,Morris,,,,,None,,57,Emeritus,English,
,,Denis,Nekipelov,,,,,None,,57,Associate Professor,Economics,
,,James,Nohrnberg,,,,,None,,57,Emeritus,English,
,,Luis,Nunez-Betancourt,,,,,None,,57,Whyburn Instructor,Mathematics,
,,Debra,Nystrom,,,,,None,,57,Professor,English,
,,Andrew,Obus,,,,,None,,57,Assistant Professor,Mathematics,
,,Gregory,Orr,,,,,None,,57,Professor,English,
,,Eugene,Paige,,,,,None,,57,Professor Emeritus,Mathematics,
,,John,Parker,,,,,None,,57,Associate Professor,English,
,,Luis,Pereira,,,,,Mary Ann Pitts Post-Doctoral Fellow in Mathematics,,57,Mary Ann Pitts Post-Doctoral Fellow in Mathematics,Mathematics,
,,Leonid,Petrov,,,,,None,,57,Assistant Professor,Mathematics,
,,Loren,Pitt,,,,,None,,57,Professor Emeritus,Mathematics,
,,Christopher,Ramsey,,,,,None,,57,Postdoctoral Fellow,Mathematics,
,,James,Rovnyak,,,,,None,,57,Professor Emeritus,Mathematics,
,,Lisa,Russ Spaar,,,,,None,,57,Professor,English,
,,James,Salter,,,,,None,,57,Kapnick Family Distinguished Writer in Residence,English,
,,Leonard,Scott,,,,,None,,57,Professor Emeritus,Mathematics,
,,Eduardo,Socolovsky,,,,,None,,57,Lecturer,Mathematics,
,,Elizabeth,Spearing,,,,,None,,57,Lecturer,English,
,,Michael,Suarez,,,,,None,,57,University Professor; Director,English,
,,John,Sullivan,,,,,None,,57,Associate Professor Emeritus,English,
,,Patricia,Sullivan,,,,,None,,57,Lecturer,English,
,,Doug,Thomasey,,,,,None,,57,Lecturer,Mathematics,
,,Christopher,Tilghman,,,,,None,,57,Professor,English,
,,Bulent,Tosun,,,,,None,,57,Whyburn Instructor,Mathematics,
,,Jeremy,Townley,,,,,None,,57,Lecturer,English,
,,Weiqiang,Wang,,,,,None,,57,Professor,Mathematics,
,,Harold,Ward,,,,,None,,57,Professor Emeritus,Mathematics,
,,Benjamin,Webster,,,,,None,,57,Assistant Professor,Mathematics,
,,Charles,Wright,,,,,None,,57,Emeritus,English,
